"filename", "language", "JSON", "HTML", "PostCSS", "JavaScript", "PHP", "YAML", "Shell Script", "Markdown", "XML", "Docker", "comment", "blank", "total"
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\examples\contents.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\examples\contentsutf8.html", "HTML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\examples\images\PHPMailer card logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 209, 0, 0, 1, 210
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\get_oauth_token.php", "PHP", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 48, 18, 183
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-af.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 3, 27
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-ar.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-as.php", "PHP", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 3, 36
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-az.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-ba.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-be.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-bg.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-bn.php", "PHP", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 3, 36
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-ca.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-cs.php", "PHP", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 3, 29
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-da.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 7, 3, 37
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-de.php", "PHP", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 3, 29
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-el.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 3, 34
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-eo.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 3, 27
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-es.php", "PHP", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 7, 3, 39
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-et.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 3, 29
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-fa.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 3, 29
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-fi.php", "PHP", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 12, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-fo.php", "PHP", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 12, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-fr.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 7, 3, 37
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-gl.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-he.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-hi.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 3, 36
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-hr.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-hu.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-hy.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-id.php", "PHP", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 3, 32
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-it.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 3, 29
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-ja.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 8, 3, 38
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-ka.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-ko.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-ku.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-lt.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-lv.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-mg.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-mn.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-ms.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-nb.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 3, 34
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-nl.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 3, 35
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-pl.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 3, 34
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 3, 35
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt_br.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 9, 3, 39
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-ro.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 3, 34
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-ru.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 7, 3, 37
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-si.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 3, 35
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-sk.php", "PHP", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 3, 31
"c:\Users\Eetu\OneDrive - Hyria koulutus Oy\Documents\GitHub\riffhub\vendor\phpmailer\phpmailer\language\phpmailer.lang-sl.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 7, 3, 37
